Zip (int),Station
2177,USA_MA_Boston-Logan.Intl.AP.725090_TMY3
75408,USA_TX_Dallas-Addison.AP.722598_TMY3
75659,USA_LA_Shreveport.Rgnl.AP.722480_TMY3
76249,USA_TX_Fort.Worth-Alliance.AP.722594_TMY3
77336,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3
65759,USA_AR_Harrison.AP.723446_TMY3
66650,USA_NE_Falls.City-Brenner.Field.725533_TMY3
72099,USA_AR_Little.Rock.AFB.723405_TMY3
72423,USA_AR_Batesville.AWOS.723448_TMY3
74533,USA_OK_McAlester.Rgnl.AP.723566_TMY3
42642,USA_KY_London-Corbin-Magee.Field.724243_TMY3
44644,USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3
70469,USA_LA_New.Orleans-Lakefront.AP.722315_TMY3
27010,USA_NC_Winston.Salem-Smith.Reynolds.AP.723193_TMY3
56072,USA_MN_Albert.Lea.AWOS.726589_TMY3
